image/key,en_caption_2,es_caption_2
03ac8b1dd6db728b,A fortune teller on the street.,Teatro ambulante de marionetas manejado por un hombre vestido de traje sobre la calle.
04020ee1007da76f,A kid making handprints on the white chart.,Pequeño pintando con sus manos sobre cartulina en mesa de madera.
04113e7d2f21171e,Ball of string on the floor.,Madeja de mecate sobre el piso.
0421eec829d10cb8,A glass of wine and a bottle on the table.,"Acercamiento de vaso de cerveza y botella sobre mesa de restaurante donde hay utensilios de comida, servilletas y más platos."
0423752f180ef665,Ramen in the white bowl.,"Sopa ramen con trozos de carne, vegetales y hierbas en un plato blanco"
043cfbb97cf7d0ef,A beautiful couple sitting in the horse carriage.,Pareja sobre calandria detenido a un lado de otras calandrias.
044a150b3427b632,People on the beach near the volleyball court.,Hombres sin camisa en bermudas jugando volleyball en tres redes colocadas en la arena de la playa
04593c33db4a437b,Wood panels on the top of granite counter.,"Primer plano de la superficie de marmol de una alacena, dos tablas de madera"
0464ee3cb962d00a,Ramen and spoon in the white bowl on the wooden table.,"Sopa de ramen con granos de elote, carne, hierbas y vegetales en un plato blanco"
04c7f28def2287ce,A side view of a white zippered emirates toiletries bag.,Pequeña bolsa de marca Emirates.
04d99f31fa5f4602,A man driving a car on the road.,Auto conducido por hombre pasando por la calle y de fondo torre de edificios y pequeño parque con árboles.
04e353c1d8d726b4,Tacos on a white plate.,Taco de cochinita pibil sobre plato de cartón en la mesa
04fc06e1cd489eff,A electric shuttle train on a elevated ramp with buildings and trees around it.,Tren sobre las vías elevadas en la ciudad
059001702b9b91e5,A group of people doing martial arts together.,Grupo de estudiantes de karate en el gimnasio durante la clase
0591c19dfec6a487,Empty wooden crate.,Caja antigua de madera sobre el piso de madera
0592e7497f03329e,A portrait of green plants.,Serie de luces blancas sobre el pasto
059bbdbdb843af6a,Italian pizza served on wooden table.,Pizza italiana sobre tablón de madera
05ab8cb823b8df06,A lake on a mountain ledge with many mountain ranges in the distance.,Hermoso paisaje de pequeño estanque en medio de las montañas
05b912dc7c89afce,Cars parked near modern buildings.,"Moderno edificio de oficinas en la ciudad, estacionamiento"
05c92ecbfdca9abf,Rows of hard drives in a rack at a data center.,Caja abierta de metal con cables en el interior
05e7b12801b04f21,Pink geranium flower with blur background.,Acrecimiento de bonitas florecillas rosas en el jardín
063b11e981ae1db4,Silver double sided aluminum ladders.,Personas acomodando estantes inclinados de metal en habitación
064a39d25c3b20b5,The mountains beside the sea coast surrounded by trees and buildings.,"Bonito paisaje de árboles, lago, montañas y cielo azul"
0664e168198cede3,Two cameras on a table.,"Dos cámaras antiguas sobre mesita, floreros, imagen en blanco y negro"
06664ee4beef4bad,Two public trash cans on side of the road.,Dos botes de basura reciclable en la calle
069a654510bbfa31,Soccer field within a stadium.,"Cancha de soccer vacía, poco público en las gradas"
06a554f8a96718ea,A close-up of kumquats and green leaves on a tree.,Acercamiento de fruto kumquat en rama del árbol
06a5f3f53ded298b,"A landscape of rolling hills with dry fields, trees and some houses in the distance.",Paisaje de montañas áridas y pocos arboles
06b9450194965cca,The killer whale in the sea.,Aleta de una ballena saliendo a la superficie del mar durante el día
06c5f87181c30e00,A vintage sports car in a showroom with many other vintage sports cars.,Coche pequeño de carreras color plateado con el número 42 en una exhibición de coches
06d478dedd964618,A white bird on the water in the background of dry stems.,Garza parada en estanque donde crecen ramas.
06e61ebc07e5eebc,Two young men looking at the laptop.,Par de hombres realizando pruebas con equipos de computadoras y fotográfios.
07007a0ea3f9bace,Airplane and trucks next to it.,Cola de un avión de pasajeros color blanco estacionado en el aeropuerto
077f634f85c23128,Two golden diagonal lines intersecting on a white background.,Columnas doradas diagonales en un techo color blanco con luz en el centro
079d31816cc78de5,Trophies in the showcase.,Vitrina de vidrio de dos niveles con trofeos de cristal y de metal
079d870c5c5a2b71,A glass of falooda with spoons on the table.,"Coctel con frutas, helado, crema y gelatina en una copa de cristal sobre mesa"
07f240fea1a3fc77,A red car on the road.,Luz trasera derecha de un coche sobre la carretera con las letras BTA
0815c84abc90de72,Bell 412 helicopter on the land.,"Helicóptero blanco blanco, rojo y negro de guardia costera sobre suelo de tierra"
084b363c71a7f958,Water bottle poster on the vending machine.,Máquina expendedora con dibujo de una botella de agua color azul
0854bbb37680cc92,Loquats on the tree.,Frutos verdes y amarillos en un árbol de hojas gruesas a la luz del día
087d26b0afcccfa0,A walkway in the river and boats next to it.,"Puerto con muelle de madera y piedra a la orilla de un lago, colina, cielo nublado"
088c1587f47ff21a,A three layered cake on a stand.,Pastel de tres pisos decorado con fondant sobre base en fondo blanco.
089cef3acc866627,A close-up of an Indian bison with horns sitting in a dry field.,Búfalo recostado en la tierra.
08a47224dca15408,A delicious Chinese dumpling in a wooden bowl.,Contenedor de madera con cinco piezas de dim sum
08baba2e58838d7f,A woman pointing down with finger.,Mujer rubia mirando hacia abajo en un recorrido por ruinas antiguas
08d7fe500c072631,Rice with fried eel.,Platillo de pescado frito con arroz blanco bajo luz blanca
08dbfb19f7bd3c2b,A view of the back of a game character facing a large robot with trees and mountains in the background.,Diseño 3D de un personaje de videojuegos frente a un robot gigante
08f0277831cc0008,Pink impatiens flowers and leaves on branches.,Flores de pétalos en tres tonos de rosa bajo el sol
091e747be8f80c04,A close-up of a white and gray butterfly on a leaf.,Mariposa de alas blancas posada en una hoja verde
094ba5d827093d86,Row of parked cars in a parking lot.,Coches estacionados en fila en un estacionamiento de noche
09584f35827c9ff0,Fresh vegetable salad and spoons on a white plate.,"Ensalada de hojas verdes, vegetales y legumbres en un plato blanco"
095defed6ab2d68b,A lion sculpture.,Estatua blanca de un león en el techo bajo el sol
09657edae4f69497,A man cutting meat off fried pig.,Hombre con cuchillo despellejando un cerdo asado sobre mesa
09869991195f8564,A car parked in a parking lot.,Coche de lujo color negro estacionado junto a un parque
09a9a9d1fe0a592a,Cake and knife on the plate.,Mitad de una rosca y cuchillo en un plato de cristal transparente
09ab6b638cd81c41,A group of colleagues are discussing in a room looking towards laptop.,Cinco hombres en una oficina trabajando en computadoras
0a45f7c7d29c7aaa,A dry toilet surrounded by trees.,Baño público rodeado de árboles en medio de un bosque
0a833d0c929a5257,A lake in between the mountains.,Lago en medio de una cordillera de montañas bajo el sol
0a883b2736f3cd27,An indoor courtyard with a pool in an old dilapidated three level mansion.,Interior de un antiguo monasterio inundado con agua
0a8fc50cd3e3df1a,The pen is placed on the signed postcard.,Sobre y pluma sobre escritorio.
0aa379552b790eb9,A close-up of a white flower on a bush.,Acercamiento a flor creciendo entre hojas.
0ab25a872a3a628f,A spoon and fork placed on the green plate.,Dos paquetes de tenedor con cuchara sobre un plato.
0ade7aef439e2102,Gold color rolls-royce at museum.,Auto de lujo color plata a la entrada de un edificio con columnas
0b1c3cded3b46e46,Tunnel inside la coupole.,Amplio túnel con luces y diferentes salidas
0b2a2c061ef16759,Llama on the ground surrounded by plants with the background of sea.,Llama comiendo en medio de la pradera
0b30ad1afeba9bca,A sports car is standing on the street.,Auto deportivo moderno color negro estacionado junto a edificio
0b33a312419b0388,Food item placed on a plate on table.,Carne bañada en salsa con papas al lado en un plato blanco
0b9f6e258d3f6405,A man waiting at the entrance of the building.,Letrero en turco y en inglés indicando la entrada en un aeropuerto
0bb03b3cad0efb39,A hand petting a Persian cat that is standing on the floor.,Una mano acariciando el cuello de un gato gris en el suelo
0bb774507fee3a7d,A man sitting inside a car with a building behind it.,Automóvil Volvo negro de lujo estacionado junto a edificio
0c1be464d6a90b72,A close-up view of a yellow scorzoneroides autumnalis flower in the grass.,Flor amarilla en medio del pasto
0c78eab0bc0b64cb,A close-up view of a leaf of rainbow Swiss chard.,Acercamiento de una acelga
0c96676d3cc5df27,Terraced rice fields.,Arrozales en las montañas rodeados de abundante vegetación
0cd79336747bd7cc,A lake surrounded with pine trees.,Vista desde lo alto de un lago rodeado por árboles
0cf98efa67d18dba,Shredded cabbage salad with dressing on a red plate.,Col rayada en plato rojo
0cfd32e15fab83ef,A man with bronze statues of monsters behind him.,Hombre con barba frente a esculturas de bronce de monstruos en un museo
0d1a0e364c173cd9,A closeup of a raspberry in a bush.,Zarzamora roja en las ramas y hojas de un arbusto a la luz del día
0d1c49afcf00e948,A white ceramic bowl with a floral design on a white cloth.,Taza de porcelana con decorado de flores sobre un mantel
0d4d1169ecf7e56e,A digital tablet mounted vertically on a table.,Teclado de botones de tableta sobre la mesa
0d5a9cfe6f7d27a3,People sitting on the floor and praying with their hands together.,Mujeres con bata blanca sentadas sobre el suelo en un templo
0d630353a0add6d5,Dog sledding in a snowy field with mountains in the distance under gray clouds.,Hombre en un trineo siendo empujado por perros sobre la nieve
0d710305021a46b5,A joystick and a keyboard on a table.,Palanca de juego sobre una mesa y junto a viejo ordenador
0d79972ccf86b23c,A military official giving a speech at an awards ceremony.,"Hombre hablando a un podio frente a una multitud, banderas de distintos países"
0d9536776a0f5e73,Painting of a dog.,Detalle de una pintura donde se aprecia la cabeza de un perro
0d95de414d78b220,A snake crawling on pavement.,Serpiente café sobre suelo rocoso
0d99f7332e5714ac,A climbing dome with three people in a field.,Jóvenes jugando en un domo de tubos de metal sobre el pasto bajo el sol
0da01a4addc839e2,A tall cathedral with many people in front of it.,Fachada de hermosa iglesia grande en día nublado
0da34862b9e819c4,A large military helicopter on an airfield.,Helicóptero militar en la pista de despegue
0dc7721eb25440cd,Ice sculpture of an igloo and an eskimo.,Esculturas de huevo en la oscuridad
0dff5becb0f6c70d,A front view of white car in the parking lot on the road.,Automovil sencillo blanco en el estacionamiento
0e2878aa394cb0f2,Three people standing by a vintage black sports car on a green field with large sun umbrellas and a lake behind it.,Coche clásico de carreras color negro sobre el pasto verde
0e3ed3d9a681cd0f,Closeup view of red flower in the garden.,Acercamiento de flores rojas en el jardín
0e41ef10ad09c6a9,Snow cannon on the snow in the snow mountain.,"Maquina en la nieve, montañas"
0e568caa07e50452,Hollyhock flowers in a garden.,Acercamiento de flores rosas en el campo
0e59eab29bb975eb,Rocks made of cold lava.,Acercamiento de rocas porosas grises
0e6376304d9770b4,A vintage red sports car on display at a museum.,Automovil clásico rojo de carreras en exhibición
0ebb49849b2634fb,A classic car at the museum.,Automovil deportivo clásico dorado en sala de exhibiciones
0ec61ac8e279245e,Cape jasmine with leaves.,Acercamiento de flor blanca en el jardín
0f12ce1c9c84bf8d,A close up view of a game controller placed on the floor.,Videojuego Gameboy sobre tapete gris
0f1b59c94d60658c,"Sound bar, wireless bluetooth with wood.",Tablero desmontado de auto.
0f2358e793950ca0,A woman riding a mountain bike on the forest trail.,Mujer practicando ciclismo en el bosque.
0f5268b184ffcf29,Luxor obelisk with blue sky.,Obelisco con fondo de cielo.
0f5f32f742a168ea,Stone causeway next to the beach with boats in the distance.,Costa rocosa con muelle de piedra.
0f7e8a74e15b709f,A close-up view of a green wollemi pine cone on a bush.,Acercamiento a un trigo verde
0f9b7d13a8e47159,Outdoor dining in narrow street of restaurant.,Calle sólo para peatones con restaurantes en medio de la noche
0ffd60b1660d127e,A group of irregularly shaped clear crystals.,Hielo en un recipiente metálico
103b912c7f055ab1,A car crash in an accident on the road.,Frente de un coche negro destrozado después de un accidente
105045ca1600113b,A person paragliding in the sky with a blue ocean below and a cloudy sky above.,Persona en paracaídas sobre el mar y cielo azul
106172bf41099725,A brown rock chat on a post.,Acercamiento de un pequeño pájaro parado sobre una roca
109c8cd4db8fbf4b,Several flavors of potato chips in packets on a shelf.,Tres empaques grandes de papas Lay's en exhibición
10aaa68c22e38839,Three marabou storks standing by a skeleton of a large animal in a field.,Cigüeñas marabú junto a los restos de un animal con cuernos
10bcbd59753ff556,Braised lamb shanks on the white plate.,Carne asada servida con arroz y especias
10d97ec18b59ea63,Pizza with cherry tomato on the tissue paper.,Pan italiano llamado focaccia
111b8f9f49f2c6d2,Ponds in the valley between mountain ranges.,Pequeños estanques formados en medio de las montañas
115872da580ac344,A ferret sitting on a woman's thigh and eating from a tube.,Hurón husmeando un tubo en manos de una chica sentada
1162c3a2b658745b,An erigeron bonariensis bush with spherical wispy flowers in a field.,Flor silvestre de color blanco
116b7e072589a6ef,French fries with tissue on the plate.,Papas fritas a la francesa sobre una servilleta y plato
11c05bcba9794149,Two red lion fish in an aquarium.,Dos peces león nadando en un acuario
120366298e4ebe93,A close up view of a lion fish in an aquarium.,Pez león en un acuario
120383993bf1971c,A cape buffalo surrounded by plants.,Un búfalo del cabo en medio de la pradera
1210ad4fd65b252a,A woman climbing the stairs.,Mujer con dos bolsas vista desde atrás subiendo una escalera
1253baf5755d43aa,A portrait of a snowy owl.,Acercamiento de un búho nevado
12683831dc080aa0,Cinnamon rolls arranged in rows inside a cardboard box.,Rollos de canela en una caja con un tenedor de plástico
1272bef04f1d0bf9,Spicy chicken curry and tomato in the white bowl.,Plato de curry picoso de pollo con jitomate
128d5b434300f002,Japanese food served on the table.,Plato de sashimi elegantemente servido junto a frascos de especias
128effcd5bc60e5e,Green farmland and big trees next to it.,Campo de pastizal verde cerca de área con árboles.
12a7849721a239a0,A yellow flower called Japanese kerria on a branch with green leaves.,Acercamiento a flor amarilla entre hojas.
12b3bf747239d5e4,A rice with dry fruits and spoon in the bowl.,Platillo pilaf con arroz y carne servido en tazón con cuchara.
12c61f9e8d2642fd,A beautiful lady posing on the fashion show stage.,Modelo femenina posando en pasarela con especctadores.
12dff43294d08f2c,A carpaccio dish with slices of meat and red sauce on a white plate.,Carne cruda fresca servida en plato extendido.
131c8077544ca677,A racing car on the road.,Auto deportivo de carreras sobre la pista.
13484f8e2b57eff2,A close up view of a strawberry cheesecake in a white plate placed on table.,Pastel de queso con fresas servido en plato extendido.
135ef3f213b86f24,A building with several cars parked in the parking lot surrounded by trees under the blue sky.,Edificio visto desde estacionamiento con autos.
13c49a205424e3b7,"Milkshake, ice cream and water in glasses on a table.","Tiramisú servido en copa con bola de helado y vaso con leche, café y canela, cucharas y un vaso de agua sobe la mesa de madera."
140d03b3fa8164f4,Closeup view of a rusty blue car panel with names scratched into it.,Letras talladas sobre una superficie de metal con oxido en algunas de sus pares.
143099b8f96d2791,A jacket is hung beside the door.,Abrigo sobre un maniquí vista desde un costado y pared blanca al fondo.
1447c76465ed795e,Two men and a child walking in a hallway leading to the outside.,Dos hombres caminado por un pasillo con un niño pequeño en blanco y negro.
146a017e61c7d073,A placard with information about a museum exhibit.,Hoja horizontal con texto en griego y traducido al inglés.
147e86fa5c31b386,People marching in military fatigues and costumes playing drums.,Desfile chino militar tradicional sobre la calle.
14bc119cb2a0209f,A turntable with a mixer and a placard describing it.,"Consola con tocadiscos, disco de acetato reproduciendo y funda del mismo recargada en el aparato."
14fdc6e53d2529f5,Portrait of a man in a room.,Hombre con camiseta de tirantes blanca mirando a la izquierda frente a una puerta de madera
150ba4418c5e7e10,A group of protesters standing on a street surrounded by buildings.,Hombres protestando a las afueras de un edificio levantando banderas azul y amarillo
150d97334649f96f,"View over a city with railway tracks, buildings and roads.",Vista aérea de una vía de tren que atraviesa la ciudad durante el día
1554f6fd493281ec,A smiling young girl with a bicycle on a road.,Niña con ropa morada de pie en su bicicleta sobre un estacionamiento al aire libre
15588d2079a35327,A person riding a sportbike on a curved road.,Motociclista en moto roja inclinada realizando una vuelta en una curva de la pista
159453e0895f9c4d,White flowers on stems with green leaves.,Flor de pétalos blancos con tallo verde y hojas verdes en el jardín
15b6fec3f694785f,People camping out in the cold in a large courtyard.,Dos hombres sentados encima de mochilas en medio de una multitud de personas
15eece3f93c56839,Pills and capsules on a wooden table.,Conjunto de pastillas sobre mesa de madera.
16207a8b9ad43c91,Golden puppies sitting on a pier.,Dos perros golden retriever de espaldas recostados sobre el piso de madera junto a la piscina
163dcae70638adda,Fresh baked buns on a black tray.,Piezas de pan de tamaño individual recién horneadas sobre papel encerado colocado en bandeja.
164b64d53c6baba9,A close-up of a corner of a frame with some printed matter on the wall.,Primer plano de la esquina de un marco de madera en la pared
164fb6565ef49ad4,Dilapidated houses on a street.,Pilas de basura en vecindario pobre de la ciudad en cielo azul con nubes
165a1862e2b3d358,A group of llamas standing on the land.,"Manada de llamas de distintos colores de pelaje bajo el sol, cielo azul"
1664556b7c3df1f5,Three people on a walkway near a mausoleum.,"Vista de un antiguo templo grande, jardín con árboles, cielo azul"
1670fa26860eff21,Pile of woods on the green grass.,"Pila de leña recién cortada sobre el pasto al aire libre, cortadora de madera"
16a40350d244b542,Airplane on runway at the airport in winter.,Avión en la pista de aterrizaje
16af9a24ba435d23,Taxi on the street.,Auto compacto taxi blanco estacionado junto a la acera durante el día
16db728531492d0a,The chef is standing near the variety of dessert table.,"Buffet de postres adornado con flores y chef a cargo en evento en jardín, dos hombres al fondo."
17a82139883cba9c,Dry grass burning on the field.,Hierba seca en llamas al aire libre durante el día
17b4608dc6d440ad,Raw meat with basil leaves and butter.,"Acercamiento de pinzas, carne cruda, queso y vegetales."
17f8cf4d94710527,Keyboard on the wooden table.,Teclado blanco de computadora en mesa de madera
1811e14afd9c17f7,White sand beach with blue sky.,"Arena de playa bajo el sol, cielo azul"
181a97eca6d8ffdb,Stuffed animals arranged in a row.,Grupo de focas de peluche blancas con etiquetas
182edfabe72c2d5f,Delicious rice porridge and spoon in the white bowl.,"Huevo, arroz, carne y vegetales servido en tazón con cuchara sobre la mesa."
1845503f52d15d0e,A turtle in the water.,Acercamiento de tortuga en el estanque
18958cb6f8523c8c,An old cross with two horizontal bars in a grassy field with trees and clouds in the background.,Cruz de cemento en medio del campo en el día
1898f5c850f25d16,A close-up view of one of the front wheels of a car.,Acercamiento de faro y llantas de auto moderno
189da54a9e61a625,A menu on top of a platform with glass doors behind.,Menú de comida japonesa en restaurante
18a72238396534b4,An old sail ship in the vasa museum.,Viejo barco de madera en exhibición
18b50c75f51f1d6c,Bamboo plant in the pot.,Planta de cannabis en el jardín
18b961db008490be,Delicious schnitzel with coriander on the white plate.,Plato con pollo empanizado y pasta servido en la mesa
18c2ca19151f97f8,A portrait view of the man sculpture in dark background.,Busto de antiguo personaje griego
18db1aa9edbffd03,Cap mushrooms in the grass.,Hongos creciendo en el jardín
18deefd6a2a21338,A close-up of a small copper coin on a rough pavement.,Moneda tirada en el pavimento
1998cd59c5ef0e02,The sausage on the wooden board beside several ingredients in bowl.,Salchicha a la parrilla guarniciones sobre tabla de madera
19ab701fbd0295d6,Paint bucket hanging on a wooden ladder in the workplace.,Hombre trabajando en interior residencial pintando
19cd5624a410e2ec,The canned food on shelves in supermarket.,"Productos de despensa en anaqueles, mostrador con refractarios de dulces a granel en venta"
19ce750d3c193b23,A man filling black soil in the bag in front of a house.,Hombre trabajando con material de construcción en el exterior
19f2eb995bbd52f0,Two layers of color pencils with sharp tips partially sticking outside their box and one pencil lying on the box.,Caja de colores en fondo obscuro.
1a023cfa4e6b7129,Dashboard of the game.,Tablero de puntuación de juego de boliche.
1a156849a45ceb8f,Red lounge chairs beside a clear blue ocean.,Dos camastros rojos en la orilla de la playa en día soleado
1a2524edfcd1f652,Animals in snowy fields.,Animales en la naturaleza pastando en invierno
1a4ff16a61ff121a,The empty street surrounded by buildings.,"Patio común de edificio de departamentos sencillo, puerta de madera al final"
1a5d5baf28dc3b70,A closeup front view of an entrance of guest house.,Exterior de entrada de casa de huéspedes tradicional
1a8f87cf584e7711,Mosque and minaret.,Mezquita y cielo azul
1a9f816b290661a0,A junco bird with blur background.,Acercamiento de pajarito junco parado sobre cablecito en la naturaleza
1ae713720afff9cf,Korean traditional foods on the table.,Mesa de madera llena de tazones de comida asiática y palillos
1af752b509c87694,A person walking towards a wooden cottage with a field and trees nearby.,Hombre caminando hacia bonita cabaña en el campo
1b277c74657f5775,An old water tower.,Bonita torre antigua y cielo azul
1b4d13dac6d9bb02,The classic car parked on the street beside the footpath.,Acercamiento de carro clásico estacionado en la calle
1b510a792faeff6d,People walking beside old white building.,Bonito exterior de construcción clásica en la ciudad
1b5fb498835e39fb,Sliced papaya fruit on white marble floor.,Acercamiento de papaya por la mitad y fondo blanco
1b6a1bef73ac2e19,Crab on the rock.,Acercamiento de cangrejo en una roca
1b73aad62a517097,A black digital meter on a table.,Medidor de ritmo de caminadora sobre mesa de madera
1be81ca653fca78b,A gray sports car parked on the street.,Automóvil clásico estacionad en la calle
1c2a29feb56cfcb6,A dog on a leash walking in a park with its owner.,Chica paseando a su perro con correa
1c3c1eaf93780a8e,Black chess pieces positioned on one side of a wooden chess board.,Tablero de ajedrez enfocando las fichas negras
1c4018f41fc66e97,An old radio receiver.,Acercamiento de radio clásico de madera
1c4d76f4dc92008d,Mosquito on the white wall.,Mosco en pared.
1c5aca126a0d7d59,White ferret in a cage.,Hurón de pelaje blanco en una caja de varillas de metal
1c602d3445ab60a7,A monkey in a forest.,Macaco de Berbería sentado sobre el suelo de piedra y tierra al pie de un árbol
1c6df6576a77f4d4,Yellow battery on brown background.,Dispositivo GPS color amarillo sobre una superficie de tela
1d224f496033e60d,Beautiful white flowers surrounded by trees.,Gran arbusto lleno de flores blancas y hojas verdes
1d237d04ea78e0bc,A young woman posing beside the golden wall.,Mujer con vestido con las manos en sus hombros recargada de puntillas sobre una pared dorada
1d2651922a41ce31,A child drinking water from a bottle standing with her mother surrounded by several people with umbrellas standing in the hot sun.,"Multitud de hombres, mujeres y niños bajo el sol caminando por las calles"
1d4e9656f00a54d5,Grapes on the vine.,Racimo de uvas con vegetación de fondo
1d56ac8ab97e70a6,An old wooden door with knockers locked.,Puerta antigua de madera con dos candados
1d617e33b2974afc,A black luxury car parked on the street beside the building.,Automóvil negro de lujo estacionado frente a edificio
1d7c7320a508643f,Huge wood carvings inside a warehouse.,Escultura fantástica dentro de una bodega
1d9f21ae0f54a074,An interior view of an old wooden staircase inside a circular tower.,Vista desde lo alto de una escalera circular de madera de varios pisos
1daa883d19ac56a7,A cathedral under blue skies with a large ground before it.,Fachada de una mezquita color blanco con cielo y nubes de fondo
1e46de4cd35ba2cb,A closeup front side view of a yellow city bus on the street.,Autobús de pasajeros amarillo estacionado en la calle
1e5c11ab90d37668,A box with a picture of a wifi router isolated on a white background.,Modem dentro de su caja sobre el suelo
1e6104d5518cb3f9,A cup of coffee beside a spoon on saucer placed on a table.,"""Taza de café con la leyenda """"café cubano"""" y una lata de refresco al fondo"""
1e95bbeb6ab5ad60,Old abandoned train carriage on a grassy field.,Construcción de madera pintada de verde a la orilla de un terreno
1ead5312df1f0710,A macro shot of a black poodle dog in a room.,Poodle color negro en medio de un salón viendo a la cámara
1ed7034f23d49bbd,A dog looking at the camera.,Perro criollo viendo a la cámara
1efc72f84699ec3d,A macro shot of green moss in the forest.,Musgo color verde en medio de vegetación
1efc8d87eaf351e4,Three pieces of grilled meat and two vegetable skewers on a white plate.,Brochetas y carne envuelta en tocino servidos en plato
1f0e7b8d37fec45b,Lamp on a white wall.,Lámpara de pared prendida
1f1f40ba55fc476d,A metallic sculpture of a small frog on a wood plank with holes in it.,Ranita de metal sobre tabla de madera con orificios
1f25898fa5004f23,A dark room with two large screens on the walls showing fireworks and a multicolored light falling in the center.,Lugar ambientado por luces y figuras.
1f5722ffe2e7dffc,A fountain surrounded by many people.,Fuente en plaza visitada por muchas personas.
1f5cf6e96f0e0690,A video game console with two controllers on a white shelf and a display mounted on the wall.,"Computadora, teclado y dos controles de video juegos"
1f6e3d1e95c4b95e,Close up view of a video game controller.,Acercamiento a control de videojuegos.
1fc0cdfb7619ec1a,A close up view of a yellow lemon on a tree branch.,Limón amarillo en rama de árbol.
1fca4e8814de1ef8,Two oryx sitting in a field with a bit of grass.,Oryx adulto y cría recostados en el pasto de la sabana.
202d0c6ccef99ced,A church in a stone building on a grassy lot.,Vieja iglesia en medio de la naturaleza
206167f6b69461bb,A caption written on paper stuck to the wall.,Pequeño letrero con código qr integrado pegado en la pared.
20617601e04bec61,A white cup filled with tea or coffee.,Espuma de café y café servido en taza.
2077ce5fe5d8fc4f,A power supply adapter on a red cushion.,Adaptador para carga de equipo lenovo.
208c44ba960bfc82,A blue locomotive on rails.,Vagón de tren convertido en casa.
21298fe14c368392,A large bell on the ground in a square with two buildings behind it.,Campana de hierro en pequeña plaza en vecindario.
21303e30f05489ec,An airplane taxiing on an empty runway.,"Pista de aterrizaje en obras, avión y otros vehículos al fondo."
213ec190be36573c,Fresh green leafy vegetables.,"Platillo con jamón, huevo y hierbas."
